Company Name;Global Company Key;Ticker;Data Date;Data Year - Fiscal;Industry Format;Level of Consolidation - Company Annual Descriptor;Population Source;Data Format;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
STANLEY BLACK & DECKER INC;10016;SWK;31/12/2018;2018;INDL;C;D;STD;USD;19408;492,1;1676,8;2183,3;5197,2;605,2;13982,4;A
STATE STREET CORP;10035;STT;31/12/2018;2018;INDL;C;D;STD;USD;244626;609;6162;6987;11967;2599;12973;A
PUBLIC STORAGE;10096;PSA;31/12/2018;2018;INDL;C;D;STD;USD;10928,27;0;1572,83;;1660,85;1711,03;2884,22;A
STRYKER CORP;10115;SYK;31/12/2018;2018;INDL;C;D;STD;USD;27229;572;3100;3823;9288;3553;13601;A
SYSCO CORP;10247;SYY;30/06/2018;2018;INDL;C;D;STD;USD;18070,4;687,82;2470,63;3200,13;11814,89;1430,77;58727,32;A
ATI INC -NEW;10405;ATI;31/12/2018;2018;INDL;C;D;STD;USD;5501,8;139,2;362,1;504;772,2;222,4;4046,6;A
TERADYNE INC;10453;TER;31/12/2018;2018;INDL;C;D;STD;USD;2706,61;114,38;489,43;596,04;1288,21;451,78;2100,8;A
TEXAS INSTRUMENTS INC;10499;TXN;31/12/2018;2018;INDL;C;D;STD;USD;17137;1131;6716;7670;10913;5580;15784;A
TEXTRON INC;10519;TXT;31/12/2018;2018;INDL;C;D;STD;USD;14264;369;1103;1527;2802;1222;13972;A
THERMO FISHER SCIENTIFIC INC;10530;TMO;31/12/2018;2018;INDL;C;D;STD;USD;56232;758;3918;6184;11916;2938;24358;A
TOTAL SYSTEM SERVICES INC;10631;TSS;31/12/2018;2018;INDL;C;D;STD;USD;7468,71;113,27;851,74;1259,77;1741,66;576,66;4028,21;I
TYSON FOODS INC  -CL A;10793;TSN;30/09/2018;2018;INDL;C;D;STD;USD;29109;1200;3316;4249;6235;3024;40052;A
AMEREN CORP;10860;AEE;31/12/2018;2018;INDL;C;D;STD;USD;27215;2338;1357;2312;2312;815;6291;A
UNION PACIFIC CORP;10867;UNP;31/12/2018;2018;INDL;C;D;STD;USD;59147;3437;8542;10733;10733;5966;22832;A
UNITEDHEALTH GROUP INC;10903;UNH;31/12/2018;2018;INDL;C;D;STD;USD;152221;2063;17344;19772;53846;11986;226247;A
UNITED PARCEL SERVICE INC;10920;UPS;31/12/2018;2018;INDL;C;D;STD;USD;50016;6283;7384;9591;9591;4791;71861;A
VARIAN MEDICAL SYSTEMS INC;11115;VAR;30/09/2018;2018;INDL;C;D;STD;USD;3252,7;47,7;507,7;580,4;1346,3;149,9;2919,1;I
VORNADO REALTY TRUST;11220;VNO;31/12/2018;2018;INDL;C;D;STD;USD;17180,79;0;519,94;;678,65;449,95;2100,7;A
VULCAN MATERIALS CO;11228;VMC;31/12/2018;2018;INDL;C;D;STD;USD;9832,13;469,09;767,57;1113,82;1447,19;515,81;4382,87;A
WALMART INC;11259;WMT;31/01/2018;2017;INDL;C;D;STD;USD;204522;10051;18653;29182;133918;9862;496785;A
WESTERN DIGITAL CORP;11399;WDC;30/06/2018;2018;INDL;C;D;STD;USD;29235;835;3857;5913;9591;675;20647;A
WEYERHAEUSER CO;11456;WY;31/12/2018;2018;INDL;C;D;STD;USD;17249;427;1470;1956;2370;748;7476;A
WHIRLPOOL CORP;11465;WHR;31/12/2018;2018;INDL;C;D;STD;USD;18347;590;1324;1969;4107;-183;21037;A
WILLIAMS COS INC;11506;WMB;31/12/2018;2018;INDL;C;D;STD;USD;45302;3256;2096;3821;4335;-155;8686;A
WEC ENERGY GROUP INC;11550;WEC;31/12/2018;2018;INDL;C;D;STD;USD;33475,8;2115,7;1468,4;2314,2;2314,2;1060,5;7679,5;A
XEROX HOLDINGS CORP;11636;XRX;31/12/2018;2018;INDL;C;D;STD;USD;14874;90;1268;1772;4537;361;9830;A
TJX COS INC (THE);11672;TJX;31/01/2018;2017;INDL;C;D;STD;USD;14058,02;1057,62;4087,43;4814,63;11089,7;2607,95;35864,66;A
ZIONS BANCORPORATION NA;11687;ZION;31/12/2018;2018;INDL;C;D;STD;USD;68746;129;1300;1493;2821;884;3033;A
ANADARKO PETROLEUM CORP;11923;APC;31/12/2018;2018;INDL;C;D;STD;USD;40376;6183;2380;6793;8104;615;13070;I
NOBLE CORP PLC;11925;NE;31/12/2018;2018;INDL;C;D;STD;USD;9264,92;194,78;-143,94;342,59;415,81;-885,05;1082,83;A
BIG LOTS INC;12123;BIG;31/01/2018;2017;INDL;C;D;STD;USD;1651,73;158,35;298,35;415,45;2142,44;189,83;5270,98;A
MORGAN STANLEY;12124;MS;31/12/2018;2018;INDL;C;D;STD;USD;853531;1865;20068;21912;21912;8748;50193;A
PRICE (T. ROWE) GROUP;12138;TROW;31/12/2018;2018;INDL;C;D;STD;USD;7689,3;168,5;2355,2;2514,7;2514,7;1837,5;5372,6;A
MICROSOFT CORP;12141;MSFT;30/06/2018;2018;INDL;C;D;STD;USD;258848;11632;35058;44958;81907;16571;110360;A
ORACLE CORP;12142;ORCL;31/05/2018;2017;INDL;C;D;STD;USD;137264;1736;14267;17052;32915;3825;39831;A
HARLEY-DAVIDSON INC;12389;HOG;31/12/2018;2018;INDL;C;D;STD;USD;10665,66;213,52;1013,02;1277,89;2642,46;531,45;5716,88;A
ADOBE INC;12540;ADBE;30/11/2018;2018;INDL;C;D;STD;USD;18768,68;266,58;2840,37;3180,07;8083,61;2590,77;9030,01;A
UNUM GROUP;12726;UNM;31/12/2018;2018;INDL;C;D;STD;USD;61875,6;144,1;795,8;903,6;903,6;523,4;11599,2;A
CERNER CORP;12850;CERN;31/12/2018;2018;INDL;C;D;STD;USD;6708,64;446,93;824,97;1467,2;4773,61;630,06;5366,33;I
SUNOCO LP;12892;SUN;31/12/2018;2018;INDL;C;D;STD;USD;4879;103;364;546;1122;-207;16994;A
PROGRESSIVE CORP-OHIO;13341;PGR;31/12/2018;2018;INDL;C;D;STD;USD;46575;266;3330,1;3596,5;3596,5;2615,3;31954,7;A
CARNIVAL CORPORATION & PLC;13498;CCL;30/11/2018;2018;INDL;C;D;STD;USD;42401;3750;3326;5343;7792;3152;18881;A
CELGENE CORP;13599;CELG;31/12/2018;2018;INDL;C;D;STD;USD;35480;330;6464;7098;14860;4046;15281;I
TIFFANY & CO;13646;TIF;31/01/2018;2017;INDL;C;D;STD;USD;5468,1;239,3;794,5;998,7;2808,9;370,1;4169,8;I
DENTSPLY SIRONA INC;13700;XRAY;31/12/2018;2018;INDL;C;D;STD;USD;8687;182,5;409,9;740,7;2425,8;-1011;3986,3;A
SCHWAB (CHARLES) CORP;13988;SCHW;31/12/2018;2018;INDL;C;D;STD;USD;296482;570;4818;5124;5124;3507;10989;A
FASTENAL CO;14225;FAST;31/12/2018;2018;INDL;C;D;STD;USD;3321,5;176,3;998,7;1136,9;2537,1;751,9;4965,1;A
AMPHENOL CORP;14282;APH;31/12/2018;2018;INDL;C;D;STD;USD;10044,9;310,6;1695,4;1989,9;2949,4;1205;8202;A
PIONEER NATURAL RESOURCES CO;14359;PXD;31/12/2018;2018;INDL;C;D;STD;USD;17903;3783;1514;3511;4000;978;9379;I
WASTE MANAGEMENT INC;14477;WM;31/12/2018;2018;INDL;C;D;STD;USD;22650;1694;2735;4312;5765;1925;14914;A
DELL TECHNOLOGIES INC;14489;DELL;31/01/2018;2017;INDL;C;D;STD;USD;122281;1212;-2831;5803;25426;-3728;78660;A
FREEPORT-MCMORAN INC;14590;FCX;31/12/2018;2018;INDL;C;D;STD;USD;42216;1971;4809;6825;7373;2602;18628;A
CINCINNATI FINANCIAL CORP;14824;CINF;31/12/2018;2018;INDL;C;D;STD;USD;21935;20;304;335;335;287;5407;A
DEVON ENERGY CORP;14934;DVN;31/12/2018;2018;INDL;C;D;STD;USD;19566;2506;1493;3305;4037;3064;10734;A
LABCORP HOLDINGS INC;14960;LH;31/12/2018;2018;INDL;C;D;STD;USD;16185,3;379,8;1491,6;2034,8;3520,6;883,7;11333,4;A
VALERO ENERGY CORP;15247;VLO;31/12/2018;2018;INDL;C;D;STD;USD;50155;2284;4429;5829;6772;3122;111407;A
PEOPLE'S UNITED FINL INC;16245;PBCT;31/12/2018;2018;INDL;C;D;STD;USD;47877,3;87,9;783,2;841,3;1572,4;468,1;1922,7;I
EOG RESOURCES INC;16478;EOG;31/12/2018;2018;INDL;C;D;STD;USD;33934,47;6076,48;4258,15;7866,58;13651,19;3419,04;17011,2;A
ELECTRONIC ARTS INC;16721;EA;31/03/2018;2017;INDL;C;D;STD;USD;8584;107;1434;1565;3995;1043;5150;A
NEWS CORP;18043;NWSA;30/06/2018;2018;INDL;C;D;STD;USD;16346;364;571;1043;4121;-1514;9024;A
GANNETT CO INC;19574;GCI;31/12/2018;2018;INDL;C;D;STD;USD;1443,86;11,64;75,85;157,04;660,79;18,2;1526,02;A
SLM CORP;20430;SLM;31/12/2018;2018;INDL;C;D;STD;USD;26638,17;0;692,36;706,18;706,18;487,48;1883,54;A
CISCO SYSTEMS INC;20779;CSCO;31/07/2018;2018;INDL;C;D;STD;USD;108784;834;12789;14750;32473;110;49330;A
XILINX INC;22325;XLNX;31/03/2018;2017;INDL;C;D;STD;USD;5055,69;49,92;778,41;827;1829,07;512,38;2539;I
AUTOZONE INC;23809;AZO;31/08/2018;2018;INDL;C;D;STD;USD;9346,98;521,79;2134,28;2479,37;6318,83;1337,54;11221,08;A
UNITED STATES STEEL CORP;23978;X;31/12/2018;2018;INDL;C;D;STD;USD;10982;1001;1016;1537;1873;1115;14178;A
AES CORP (THE);24216;AES;31/12/2018;2018;INDL;C;D;STD;USD;32521;2121;2382;3389;3581;1203;10736;A
MONSTER BEVERAGE CORP;24316;MNST;31/12/2018;2018;INDL;C;D;STD;USD;4526,89;61,94;1283,62;1340,6;2352,35;993;3807,18;A
BIOGEN INC;24468;BIIB;31/12/2018;2018;INDL;C;D;STD;USD;25288,9;770,6;6386;7100,9;11793,5;4430,7;13452,9;A
KIMCO REALTY CORP;24731;KIM;31/12/2018;2018;INDL;C;D;STD;USD;10999,1;0;453,28;;547,33;497,8;1265,48;A
PERRIGO CO PLC;24782;PRGO;31/12/2018;2018;INDL;C;D;STD;USD;10983,4;102,6;486,4;910;2255,1;131;4731,7;A
QUALCOMM INC;24800;QCOM;30/09/2018;2018;INDL;C;D;STD;USD;32686;784;3877;5438;14049;-4864;22732;A
GILEAD SCIENCES INC;24856;GILD;31/12/2018;2018;INDL;C;D;STD;USD;63675;924;9065;10494;18703;5455;22127;A
ROPER TECHNOLOGIES INC;24925;ROP;31/12/2018;2018;INDL;C;D;STD;USD;15249,5;49,1;1396,4;1762,4;3645,5;944,4;5191,2;A
BOSTON SCIENTIFIC CORP;25279;BSX;31/12/2018;2018;INDL;C;D;STD;USD;20999;316;1906;2801;7325;1671;9823;A
KOHL'S CORP;25283;KSS;31/01/2018;2017;INDL;C;D;STD;USD;13340;672;1416;2407;6919;859;19095;A
D R HORTON INC;25340;DHI;30/09/2018;2018;INDL;C;D;STD;USD;14114,6;138,3;2038;2096,2;3767,7;1460,3;16083,1;A
STARBUCKS CORP;25434;SBUX;30/09/2018;2018;INDL;C;D;STD;USD;24156,4;1976,4;3873,5;5120,5;6875,9;4518,3;24719,5;A
PATTERSON COS INC;25880;PDCO;30/04/2018;2017;INDL;C;D;STD;USD;3471,66;43,26;219,89;303,71;1283,18;200,97;5465,68;A
ALCOA CORP;27638;AA;31/12/2018;2018;INDL;C;D;STD;USD;15938;399;2336;3069;3348;227;13403;A
CHESAPEAKE ENERGY CORP;27786;CHK;31/12/2018;2018;INDL;C;D;STD;USD;10947;2267;1577;2722;3012;873;10231;A
ALLERGAN PLC;27845;AGN;31/12/2018;2018;INDL;C;D;STD;USD;101787,6;253,5;358,1;7106,7;13724,6;-5096,4;15787,4;I
HUMANA INC;27914;HUM;31/12/2018;2018;INDL;C;D;STD;USD;25413;612;3112;3634;11159;1683;56912;A
INTUIT INC;27928;INTU;31/07/2018;2018;INDL;C;D;STD;USD;5178;124;1578;1831;5234;1211;5964;A
MICROCHIP TECHNOLOGY INC;27965;MCHP;31/03/2018;2017;INDL;C;D;STD;USD;8257,2;206,8;963,8;1579,7;2551,1;255,4;3980,8;A
CHUBB LTD;28034;CB;31/12/2018;2018;INDL;C;D;STD;USD;167771;0;5240;;5240;3962;33046;A
FOSSIL GROUP INC;28118;FOSL;31/12/2018;2018;INDL;C;D;STD;USD;1575,2;17,96;115,55;183,14;1407,72;-3,48;2541,49;A
O'REILLY AUTOMOTIVE INC;28180;ORLY;31/12/2018;2018;INDL;C;D;STD;USD;7980,79;504,27;1815,18;2075,02;5299,8;1324,49;9536,43;A
JABIL INC;28195;JBL;31/08/2018;2018;INDL;C;D;STD;USD;12045,64;1036,65;579,06;1352,76;2442,01;86,33;22095,42;A
ALLSTATE CORP;28349;ALL;31/12/2018;2018;INDL;C;D;STD;USD;112249;277;2874;3280;3280;2252;39364;A
FLIR SYSTEMS INC;28477;FLIR;31/12/2018;2018;INDL;C;D;STD;USD;2781,24;30,77;377,22;442,52;968,97;282,43;1775,69;I
EQUITY RESIDENTIAL;28733;EQR;31/12/2018;2018;INDL;C;D;STD;USD;20394,21;4,51;856,92;;910,74;657,54;2576,8;A
BORGWARNER INC;28742;BWA;31/12/2018;2018;INDL;C;D;STD;USD;10095,3;546,6;1283,7;1715;2660,7;930,7;10529,6;A
MARRIOTT INTL INC;28930;MAR;31/12/2018;2018;INDL;C;D;STD;USD;23696;556;2521;2894;2894;1907;20758;A
COSTCO WHOLESALE CORP;29028;COST;31/08/2018;2018;INDL;C;D;STD;USD;40830;2969;4480;5917;19861;3134;141576;A
URBAN OUTFITTERS INC;29150;URBN;31/01/2018;2017;INDL;C;D;STD;USD;1952,78;83,81;259,89;385,71;1301,33;108,26;3616,01;A
SIMON PROPERTY GROUP INC;29389;SPG;31/12/2018;2018;INDL;C;D;STD;USD;30686,22;0;3368,44;;3715,53;2440,06;6115,27;A
EASTMAN CHEMICAL CO;29392;EMN;31/12/2018;2018;INDL;C;D;STD;USD;15995;528;1512;2113;3062;1080;10151;A
INVESCO LTD;29804;IVZ;31/12/2018;2018;INDL;C;D;STD;USD;30978,4;102,5;1266,2;1408,3;1408,3;882,8;5314,1;A
AVALONBAY COMMUNITIES INC;29875;AVB;31/12/2018;2018;INDL;C;D;STD;USD;18380,2;3,33;836,58;;897,25;974,53;2299,78;A
PROLOGIS INC;29984;PLD;31/12/2018;2018;INDL;C;D;STD;USD;38417,66;0;1159,93;;1398,91;1649,36;3117,37;A
INGERSOLL RAND INC;30098;IR;31/12/2018;2018;INDL;C;D;STD;USD;4487,1;52,2;461,1;641,5;1057,3;269,4;2689,8;A
APARTMENT INVST & MGMT CO;30490;AIV;31/12/2018;2018;INDL;C;D;STD;USD;6190;0;226,67;;276,72;666,23;983,32;A
TECHNIPFMC PLC;30923;FTI;31/12/2018;2018;INDL;C;D;STD;USD;24784,5;368,1;950,1;1591,8;2921,6;-1921,6;12552,9;A
CAPITAL ONE FINANCIAL CORP;30990;COF;31/12/2018;2018;INDL;C;D;STD;USD;372538;874;8425;9327;9327;6015;31831;A
DOLLAR TREE INC;31587;DLTR;31/01/2018;2017;INDL;C;D;STD;USD;16332,8;632,2;2030,2;2641,4;7633,1;1714,3;22245,5;A
DARDEN RESTAURANTS INC;31846;DRI;31/05/2018;2017;INDL;C;D;STD;USD;5469,6;396;785,9;1102,1;1748,5;596;8080,1;A
ALTAIR ENGINEERING INC;32530;ALTR;31/12/2018;2018;INDL;C;D;STD;USD;483,22;6,66;31,44;46,18;293,4;13,72;402,38;A
SEA LIMITED;32546;SE;31/12/2018;2018;INDL;C;D;STD;USD;2192,67;177,34;-988,77;-910,04;79,59;-961,24;836,77;A
DOW INC;34443;DOW;31/12/2018;2018;INDL;C;D;STD;USD;77378;2564;7569;10726;15108;4499;60278;A
BEAM THERAPEUTICS INC;35714;BEAM;31/12/2018;2018;INDL;C;D;STD;USD;167,01;13,12;-45,74;-45,09;0;-115,26;0;A
DOUBLEVERIFY HOLD INC;38412;DV;31/12/2018;2018;INDL;C;D;STD;USD;;;;;;;;A
P10 INC;39750;PX;31/12/2018;2018;INDL;C;D;STD;USD;;;;;;;;A
LIFE STORAGE INC;60914;LSI;31/12/2018;2018;INDL;C;D;STD;USD;3892,21;0;225,34;;269,44;206,59;554,99;I
DIAMOND OFFSHRE DRILLING INC;61409;DO;31/12/2018;2018;INDL;C;D;STD;USD;6035,69;222,41;-62,18;269,61;337,46;-180,27;1083,22;A
DAVITA INC;61483;DVA;31/12/2018;2018;INDL;C;D;STD;USD;19110,25;987,14;1525,95;2116,98;3209,34;159,39;11404,85;A
ESTEE LAUDER COMPANIES INC;61567;EL;30/06/2018;2018;INDL;C;D;STD;USD;12567;629;2266;2786;11385;1108;13691;A
WATERS CORP;61574;WAT;31/12/2018;2018;INDL;C;D;STD;USD;3727,43;96,08;742,61;851,01;1528,06;593,79;2419,93;A
NETAPP INC;61591;NTAP;30/04/2018;2017;INDL;C;D;STD;USD;9865;145;912;1110;3880;76;5911;A
CITRIX SYSTEMS INC;61676;CTXS;31/12/2018;2018;INDL;C;D;STD;USD;5136,05;69,35;694,69;836,58;2666,14;575,67;2973,9;I
HARTFORD FINANCIAL SERVICES;61739;HIG;31/12/2018;2018;INDL;C;D;STD;USD;62307;122;1896;2196;2196;1807;18747;A
ALEXION PHARMACEUTICALS INC;62263;ALXN;31/12/2018;2018;INDL;C;D;STD;USD;13931,9;213;1629,4;2028,4;3841,6;77,6;4131,2;I
IRON MOUNTAIN INC;62374;IRM;31/12/2018;2018;INDL;C;D;STD;USD;11852,25;460,06;796,36;1435,87;2431,81;363,35;4225,76;A
TRAVELERS COS INC;62689;TRV;31/12/2018;2018;INDL;C;D;STD;USD;104233;0;2948;3751;7245;2523;29917;A
E TRADE FINANCIAL CORP;63501;ETFC;31/12/2018;2018;INDL;C;D;STD;USD;65003;112;1532;1672;1672;1052;3027;I
STERICYCLE INC;63527;SRCL;31/12/2018;2018;INDL;C;D;STD;USD;6455,5;130,8;353,6;609,5;1502;-244,7;3485,9;A
ABERCROMBIE & FITCH  -CL A;63643;ANF;31/01/2018;2017;INDL;C;D;STD;USD;2325,69;107;70,18;264,73;2278,39;7,09;3492,69;A
NOV INC;63892;NOV;31/12/2018;2018;INDL;C;D;STD;USD;19796;244;211;901;2134;-31;8453;A
QUEST DIAGNOSTICS INC;64166;DGX;31/12/2018;2018;INDL;C;D;STD;USD;11003;383;1224;1533;2892;736;7531;A
CARMAX INC;64410;KMX;28/02/2018;2017;INDL;C;D;STD;USD;17486,27;296,82;1140,99;1299,59;2912,64;664,11;17977,19;A
AMAZON.COM INC;64768;AMZN;31/12/2018;2018;INDL;C;D;STD;USD;162648;13427;12242;24855;105869;10073;232887;A
RALPH LAUREN CORP;64891;RL;31/03/2018;2017;INDL;C;D;STD;USD;6143,3;161,6;663,8;944,9;3759,3;162,8;6182,3;A
BOSTON PROPERTIES INC;64925;BXP;31/12/2018;2018;INDL;C;D;STD;USD;20256,48;0;924,87;;1048,19;582,85;2728,26;A
YUM BRANDS INC;65417;YUM;31/12/2018;2018;INDL;C;D;STD;USD;4130;234;2316;2499;2847;1542;5688;A
C H ROBINSON WORLDWIDE INC;65609;CHRW;31/12/2018;2018;INDL;C;D;STD;USD;4427,41;45;912,08;1008,81;2801,96;664,51;16631,17;A
VERISIGN INC;66368;VRSN;31/12/2018;2018;INDL;C;D;STD;USD;1914,5;37,01;767,39;815,76;1071,2;582,49;1214,97;A
QUANTA SERVICES INC;66446;PWR;31/12/2018;2018;INDL;C;D;STD;USD;7075,79;293,6;596,96;843,47;1682,48;293,35;11171,42;A
AMERICAN TOWER CORP;105365;AMT;31/12/2018;2018;INDL;C;D;STD;USD;33010,4;913,2;2240,6;4023,9;4757,1;1236,4;7106,4;A
VENTAS INC;110179;VTR;31/12/2018;2018;INDL;C;D;STD;USD;22584,56;0;927,86;;1079,84;409,47;3690,78;A
COGNIZANT TECH SOLUTIONS;111864;CTSH;31/12/2018;2018;INDL;C;D;STD;USD;15913;377;2920;3380;6287;2101;16125;A
REPUBLIC SERVICES INC;112168;RSG;31/12/2018;2018;INDL;C;D;STD;USD;21617;1071,8;1669,1;2803,8;3851,3;1036,9;10040,9;A
CROWN CASTLE INC;113490;CCI;31/12/2018;2018;INDL;C;D;STD;USD;32785;1741;1485;3030;3593;671;5423;A
EBAY INC;114524;EBAY;31/12/2018;2018;INDL;C;D;STD;USD;22819;651;2308;2997;9004;2530;10746;A
GOLDMAN SACHS GROUP INC;114628;GS;31/12/2018;2018;INDL;C;D;STD;USD;931796;7982;25627;26955;26955;10459;52368;A
NVIDIA CORP;117768;NVDA;31/01/2018;2017;INDL;C;D;STD;USD;11241;593;3210;3409;6021;3047;9714;A
CNX RESOURCES CORPORATION;120093;CNX;31/12/2018;2018;INDL;C;D;STD;USD;8592,17;1116,4;532,18;1025,6;1025,6;796,53;1740,49;A
F5 INC;121077;FFIV;30/09/2018;2018;INDL;C;D;STD;USD;2605,48;53,47;609,33;666,31;1853,8;453,69;2161,41;A
JUNIPER NETWORKS INC;121718;JNPR;31/12/2018;2018;INDL;C;D;STD;USD;9363,3;147,4;598,4;809;2949,6;566,9;4647,5;A
RED HAT INC;122841;RHT;28/02/2018;2017;INDL;C;D;STD;USD;5466,55;84,97;474,48;571,62;2571,06;258,8;2920,46;I
BLACKROCK INC;124434;BLK;31/12/2018;2018;INDL;C;D;STD;USD;159573;204;5595;5799;5799;4305;14198;A
AKAMAI TECHNOLOGIES INC;125595;AKAM;31/12/2018;2018;INDL;C;D;STD;USD;5461,77;405,74;455,78;861,7;2053,58;298,37;2714,47;A
EXPEDIA GROUP INC;126296;EXPE;31/12/2018;2018;INDL;C;D;STD;USD;18033;878;783;1742;9359;406;11223;A
AGILENT TECHNOLOGIES INC;126554;A;31/10/2018;2018;INDL;C;D;STD;USD;8541;177;989;1201;2878;316;4914;A
EDWARDS LIFESCIENCES CORP;133366;EW;31/12/2018;2018;INDL;C;D;STD;USD;5323,7;238,7;1038,7;1116,1;2860,8;722,2;3722,8;A
METLIFE INC;133768;MET;31/12/2018;2018;INDL;C;D;STD;USD;687538;0;7585;8366;13517;5123;67957;A
NRG ENERGY INC;135990;NRG;31/12/2018;2018;INDL;C;D;STD;USD;10628;388;1101;1522;1522;268;9478;A
INTUITIVE SURGICAL INC;136725;ISRG;31/12/2018;2018;INDL;C;D;STD;USD;7846,7;187,4;1244,6;1364,7;2724,2;1127,9;3724,2;A
MOODY'S CORP;139665;MCO;31/12/2018;2018;INDL;C;D;STD;USD;9526,2;90,4;1925,2;2117,1;3197,2;1309,6;4442,7;A
PEABODY ENERGY CORP;142460;BTU;31/12/2018;2018;INDL;C;D;STD;USD;7423,7;688,4;619,1;1351,1;1509,2;646,6;5581,8;A
PRUDENTIAL FINANCIAL INC;143356;PRU;31/12/2018;2018;INDL;C;D;STD;USD;815078;0;6240;6401;16789;4074;62998;A
ACCENTURE PLC;143357;ACN;31/08/2018;2018;INDL;C;D;STD;USD;24449,08;619,19;5841,04;6434,7;13036,57;4059,91;41603,43;A
ROCKWELL COLLINS;144066;COL;30/09/2018;2018;INDL;C;D;STD;USD;19026;257;1496;1990;3309;1032;8665;I
GAMESTOP CORP;145049;GME;31/01/2018;2017;INDL;C;D;STD;USD;5041,6;113,4;491,1;642,9;3041,2;34,7;9224,6;A
PRINCIPAL FINANCIAL GRP INC;145701;PFG;31/12/2018;2018;INDL;C;D;STD;USD;243036,1;92,3;1770;1975,1;1975,1;1546,5;14075,6;A
NETFLIX INC;147579;NFLX;31/12/2018;2018;INDL;C;D;STD;USD;25974,4;173,95;1605,23;1688,38;5909,96;1211,24;15794,34;A
CME GROUP INC;149070;CME;31/12/2018;2018;INDL;C;D;STD;USD;77475,7;116,7;2607,6;2856,3;2856,3;1962,2;4309,4;A
WYNN RESORTS LTD;149318;WYNN;31/12/2018;2018;INDL;C;D;STD;USD;13216,27;1475,97;1203,07;1753,67;2620,69;572,43;6706,96;A
NASDAQ INC;149337;NDAQ;31/12/2018;2018;INDL;C;D;STD;USD;15700;111;1083;1293;1293;458;4277;A
SEAGATE TECHNOLOGY HOLDINGS;150937;STX;30/06/2018;2018;INDL;C;D;STD;USD;9410;366;1723;2321;3909;1182;11184;A
QEP RESOURCES INC;154357;QEP;31/12/2018;2018;INDL;C;D;STD;USD;6117,8;1299,7;-1231,1;-337,7;-170;-1011,6;1932,6;I
ASSURANT INC;157057;AIZ;31/12/2018;2018;INDL;C;D;STD;USD;41089,3;82,8;544,5;1486,6;1486,6;251;8054,5;A
SALESFORCE INC;157855;CRM;31/01/2018;2017;INDL;C;D;STD;USD;21009,8;534,03;234,34;987,15;8336,54;127,48;10480,01;A
GENWORTH FINANCIAL INC;158354;GNW;31/12/2018;2018;INDL;C;D;STD;USD;100923;0;753;828;828;119;8428;A
MASTERCARD INC;160225;MA;31/12/2018;2018;INDL;C;D;STD;USD;24860;330;8410;8869;8869;5859;14950;A
MOSAIC CO;162129;MOS;31/12/2018;2018;INDL;C;D;STD;USD;20119,2;954,5;1099,4;2025,6;2454,6;470;9587,3;A
INTERCONTINENTAL EXCHANGE;163610;ICE;31/12/2018;2018;INDL;C;D;STD;USD;92791;280;2620;3202;3916;1988;6271;A
CF INDUSTRIES HOLDINGS INC;163946;CF;31/12/2018;2018;INDL;C;D;STD;USD;12661;422;720;1592;1789;290;4429;A
AMERIPRISE FINANCIAL INC;164708;AMP;31/12/2018;2018;INDL;C;D;STD;USD;137216;162;2759;2935;6062;2098;12910;A
VIACOM INC;165675;VIAB;30/09/2018;2018;INDL;C;D;STD;USD;23783;178;2795;3008;6064;1719;12943;I
CHIPOTLE MEXICAN GRILL INC;165914;CMG;31/12/2018;2018;INDL;C;D;STD;USD;2265,52;287,39;352,06;554,04;910,99;176,55;4864,99;A
FIDELITY NATIONAL INFO SVCS;165993;FIS;31/12/2018;2018;INDL;C;D;STD;USD;23770;127;1709;3020;4165;846;8423;A
PHILLIPS 66;170841;PSX;31/12/2018;2018;INDL;C;D;STD;USD;54302;2639;5170;6549;8226;5595;111461;A
WESTERN UNION CO;175263;WU;31/12/2018;2018;INDL;C;D;STD;USD;8996,8;136,7;1137;1401,7;2553,8;851,9;5589,9;A
FIRST SOLAR INC;175404;FSLR;31/12/2018;2018;INDL;C;D;STD;USD;7121,36;739,84;40,11;174,41;526,48;144,33;2244,04;A
TE CONNECTIVITY LTD;177267;TEL;30/09/2018;2018;INDL;C;D;STD;USD;20386;935;2471;3138;5412;2565;13988;A
DISCOVER FINANCIAL SVCS;177376;DFS;31/12/2018;2018;INDL;C;D;STD;USD;109553;254;4498;4640;4640;2742;12848;A
TERADATA CORP;178310;TDC;31/12/2018;2018;INDL;C;D;STD;USD;2360;153;86;216;1154;30;2164;A
VISA INC;179534;V;30/09/2018;2018;INDL;C;D;STD;USD;69225;718;13756;14369;14369;10301;20609;A
PHILIP MORRIS INTERNATIONAL;179621;PM;31/12/2018;2018;INDL;C;D;STD;USD;39801;1436;11377;12366;19774;7911;29625;A
MARATHON PETROLEUM CORP;186989;MPC;31/12/2018;2018;INDL;C;D;STD;USD;92940;3578;5170;7660;9881;2780;96504;A
WPX ENERGY INC;187128;WPX;31/12/2018;2018;INDL;C;D;STD;USD;8203;1476;558;1406;1594;151;2310;I
XYLEM INC;189491;XYL;31/12/2018;2018;INDL;C;D;STD;USD;7222;237;714;975;2292;549;5207;A
TRIPADVISOR INC;199356;TRIP;31/12/2018;2018;INDL;C;D;STD;USD;2167;61;188;304;1529;113;1615;A
