Company Name;Global Company Key;Ticker;Data Date;Data Year - Fiscal;Industry Format;Level of Consolidation - Company Annual Descriptor;Population Source;Data Format;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
STRYKER CORP;10115;SYK;31/12/2019;2019;INDL;C;D;STD;USD;30167;649;3444;4222;10121;2083;14884;A
SYSCO CORP;10247;SYY;30/06/2019;2019;INDL;C;D;STD;USD;17966,52;692,39;2656,75;3366,35;12118,59;1674,27;60113,92;A
ATI INC -NEW;10405;ATI;31/12/2019;2019;INDL;C;D;STD;USD;5634,6;168,2;370,6;531,2;798,4;257,6;4122,5;A
TERADYNE INC;10453;TER;31/12/2019;2019;INDL;C;D;STD;USD;2787,01;134,64;540,22;651,2;1411,11;467,47;2294,97;A
TEXAS INSTRUMENTS INC;10499;TXN;31/12/2019;2019;INDL;C;D;STD;USD;18018;847;5687;6737;9926;5017;14383;A
TEXTRON INC;10519;TXT;31/12/2019;2019;INDL;C;D;STD;USD;15018;339;1054;1459;2611;815;13630;A
THERMO FISHER SCIENTIFIC INC;10530;TMO;31/12/2019;2019;INDL;C;D;STD;USD;58381;926;4259;6536;12411;3696;25542;A
TYSON FOODS INC  -CL A;10793;TSN;30/09/2019;2019;INDL;C;D;STD;USD;33097;1259;2977;4063;6191;2022;42405;A
AMEREN CORP;10860;AEE;31/12/2019;2019;INDL;C;D;STD;USD;28933;2442;1267;2262;2262;828;5910;A
UNION PACIFIC CORP;10867;UNP;31/12/2019;2019;INDL;C;D;STD;USD;61673;3453;8499;10715;10715;5919;21708;A
UNITEDHEALTH GROUP INC;10903;UNH;31/12/2019;2019;INDL;C;D;STD;USD;173889;2071;19685;22405;57598;13839;242155;A
UNITED PARCEL SERVICE INC;10920;UPS;31/12/2019;2019;INDL;C;D;STD;USD;57857;6380;8150;10510;10510;4440;74094;A
VF CORP;11060;VFC;31/03/2019;2018;INDL;C;D;STD;USD;10356,79;250,63;2016,1;2317,11;7405,53;1259,79;13848,66;A
VARIAN MEDICAL SYSTEMS INC;11115;VAR;30/09/2019;2019;INDL;C;D;STD;USD;4101,7;58;499,6;580,7;1451,4;291,9;3225,1;I
VORNADO REALTY TRUST;11220;VNO;31/12/2019;2019;INDL;C;D;STD;USD;18287,01;0;296,15;;482,29;3147,94;1921,3;A
VULCAN MATERIALS CO;11228;VMC;31/12/2019;2019;INDL;C;D;STD;USD;10648,79;384,09;885,35;1259,95;1630,5;617,66;4929,1;A
WALMART INC;11259;WMT;31/01/2019;2018;INDL;C;D;STD;USD;219295;10344;19471;30149;137106;6670;511729;A
WESTERN DIGITAL CORP;11399;WDC;30/06/2019;2019;INDL;C;D;STD;USD;26370;876;420;2232;5556;-754;16569;A
WEYERHAEUSER CO;11456;WY;31/12/2019;2019;INDL;C;D;STD;USD;16406;384;676;1186;1652;-76;6554;A
WHIRLPOOL CORP;11465;WHR;31/12/2019;2019;INDL;C;D;STD;USD;18881;532;1236;1823;3956;1184;20419;A
WILLIAMS COS INC;11506;WMB;31/12/2019;2019;INDL;C;D;STD;USD;46040;2109;2405;4119;4667;850;8201;A
WEC ENERGY GROUP INC;11550;WEC;31/12/2019;2019;INDL;C;D;STD;USD;34951,8;2260,8;1531,4;2457,7;2457,7;1135,2;7523,1;A
XEROX HOLDINGS CORP;11636;XRX;31/12/2019;2019;INDL;C;D;STD;USD;15047;65;1278;1708;4166;1353;9066;A
TJX COS INC (THE);11672;TJX;31/01/2019;2018;INDL;C;D;STD;USD;14326,03;1125,14;4218,19;5037,09;11960,66;3059,8;38972,93;A
ZIONS BANCORPORATION NA;11687;ZION;31/12/2019;2019;INDL;C;D;STD;USD;69172;117;1198;1386;2795;816;3245;A
NOBLE CORP PLC;11925;NE;31/12/2019;2019;INDL;C;D;STD;USD;8284,5;268,78;-117,84;322,38;391,18;-700,59;1138,58;A
BIG LOTS INC;12123;BIG;31/01/2019;2018;INDL;C;D;STD;USD;2023,35;361,27;229,03;354;2121,9;156,89;5238,11;A
MORGAN STANLEY;12124;MS;31/12/2019;2019;INDL;C;D;STD;USD;895429;1826;21820;24463;24463;9042;53823;A
PRICE (T. ROWE) GROUP;12138;TROW;31/12/2019;2019;INDL;C;D;STD;USD;9330,4;204,6;2387;2577,8;2577,8;2131,3;5617,9;A
MICROSOFT CORP;12141;MSFT;30/06/2019;2019;INDL;C;D;STD;USD;286556;13925;42959;54559;94533;39240;125843;A
ORACLE CORP;12142;ORCL;31/05/2019;2018;INDL;C;D;STD;USD;108709;1660;13957;16876;32741;11083;39506;A
HARLEY-DAVIDSON INC;12389;HOG;31/12/2019;2019;INDL;C;D;STD;USD;10528,16;181,44;808,73;1041,27;2373,96;423,64;5361,79;A
ADOBE INC;12540;ADBE;30/11/2019;2019;INDL;C;D;STD;USD;20762,4;394,48;3268,12;3843,52;9898,73;2951,46;11171,3;A
UNUM GROUP;12726;UNM;31/12/2019;2019;INDL;C;D;STD;USD;67013,4;150,9;1587,5;1704,7;1704,7;1100,3;11999,6;A
CERNER CORP;12850;CERN;31/12/2019;2019;INDL;C;D;STD;USD;6894,62;471,52;858,02;1546,43;4994,74;529,45;5692,6;I
SUNOCO LP;12892;SUN;31/12/2019;2019;INDL;C;D;STD;USD;5438;148;540;719;1220;313;16596;A
PROGRESSIVE CORP-OHIO;13341;PGR;31/12/2019;2019;INDL;C;D;STD;USD;54895,3;363,5;5350;5656,1;5656,1;3970,3;38997,7;A
CARNIVAL CORPORATION & PLC;13498;CCL;30/11/2019;2019;INDL;C;D;STD;USD;45058;5429;3285;5445;7916;2990;20825;A
TIFFANY & CO;13646;TIF;31/01/2019;2018;INDL;C;D;STD;USD;5333;282,1;798,8;1025,8;3046,5;586,4;4442,1;I
DENTSPLY SIRONA INC;13700;XRAY;31/12/2019;2019;INDL;C;D;STD;USD;8602,9;122,9;552,5;875,3;2444,8;262,9;4029,2;A
SCHWAB (CHARLES) CORP;13988;SCHW;31/12/2019;2019;INDL;C;D;STD;USD;294005;708;5158;5507;5507;3704;11785;A
FASTENAL CO;14225;FAST;31/12/2019;2019;INDL;C;D;STD;USD;3799,9;246,4;1056;1204,7;2664,1;790,9;5333,7;A
AMPHENOL CORP;14282;APH;31/12/2019;2019;INDL;C;D;STD;USD;10815,5;295;1628,9;1936,2;2907,6;1155;8225,4;A
PIONEER NATURAL RESOURCES CO;14359;PXD;31/12/2019;2019;INDL;C;D;STD;USD;19067;3220;1738;3487;3889;756;9671;I
WASTE MANAGEMENT INC;14477;WM;31/12/2019;2019;INDL;C;D;STD;USD;27743;1818;2803;4479;6077;1670;15455;A
DELL TECHNOLOGIES INC;14489;DELL;31/01/2019;2018;INDL;C;D;STD;USD;111820;1158;749;8495;29757;-2310;90621;A
FREEPORT-MCMORAN INC;14590;FCX;31/12/2019;2019;INDL;C;D;STD;USD;40809;2652;889;2522;3040;-239;14568;A
CINCINNATI FINANCIAL CORP;14824;CINF;31/12/2019;2019;INDL;C;D;STD;USD;25408;24;2525;2550;2550;1997;7924;A
DEVON ENERGY CORP;14934;DVN;31/12/2019;2019;INDL;C;D;STD;USD;13717;1941;160;1696;2211;-355;6220;A
LABCORP HOLDINGS INC;14960;LH;31/12/2019;2019;INDL;C;D;STD;USD;18046,4;400,2;1467,6;2032,3;3574;823,8;11554,8;A
VALERO ENERGY CORP;15247;VLO;31/12/2019;2019;INDL;C;D;STD;USD;53864;2069;3843;5343;6225;2422;102729;A
PEOPLE'S UNITED FINL INC;16245;PBCT;31/12/2019;2019;INDL;C;D;STD;USD;58589,8;67,7;901,2;975,4;1807,5;520,4;2304,6;I
EOG RESOURCES INC;16478;EOG;31/12/2019;2019;INDL;C;D;STD;USD;37124,61;6422,53;3532,04;7501,64;13510,44;2734,91;17122;A
ELECTRONIC ARTS INC;16721;EA;31/03/2019;2018;INDL;C;D;STD;USD;8957;119;1010;1158;3753;1019;4950;A
NEWS CORP;18043;NWSA;30/06/2019;2019;INDL;C;D;STD;USD;15711;572;547;1206;4414;155;10036;A
GANNETT CO INC;19574;GCI;31/12/2019;2019;INDL;C;D;STD;USD;4020,1;13,98;77,42;181,4;788,32;-119,84;1867,91;A
SLM CORP;20430;SLM;31/12/2019;2019;INDL;C;D;STD;USD;32686,48;0;885,89;900,56;900,56;578,28;2362,13;A
CISCO SYSTEMS INC;20779;CSCO;31/07/2019;2019;INDL;C;D;STD;USD;97793;909;14171;15945;34295;11621;51904;A
XILINX INC;22325;XLNX;31/03/2019;2018;INDL;C;D;STD;USD;5151,35;89,05;970,27;1028,5;2156,47;889,75;3059,04;I
AUTOZONE INC;23809;AZO;31/08/2019;2019;INDL;C;D;STD;USD;9895,91;496,05;2209,34;2579,3;6734,96;1617,22;11863,74;A
UNITED STATES STEEL CORP;23978;X;31/12/2019;2019;INDL;C;D;STD;USD;11608;1252;-50;566;855;-630;12937;A
AES CORP (THE);24216;AES;31/12/2019;2019;INDL;C;D;STD;USD;33648;2405;2153;3175;3371;303;10189;A
MONSTER BEVERAGE CORP;24316;MNST;31/12/2019;2019;INDL;C;D;STD;USD;5150,35;101,66;1418,44;1479,17;2579,31;1107,84;4200,82;A
BIOGEN INC;24468;BIIB;31/12/2019;2019;INDL;C;D;STD;USD;27234,3;514,5;7503,4;7968;12613,1;5888,5;14377,9;A
KIMCO REALTY CORP;24731;KIM;31/12/2019;2019;INDL;C;D;STD;USD;10997,87;0;496,61;;593,55;410,61;1257,12;A
PERRIGO CO PLC;24782;PRGO;31/12/2019;2019;INDL;C;D;STD;USD;11301,4;137,7;485,2;881,7;2175,5;146,1;4837,4;A
QUALCOMM INC;24800;QCOM;30/09/2019;2019;INDL;C;D;STD;USD;32957;887;3358;4759;12352;4386;19550;A
GILEAD SCIENCES INC;24856;GILD;31/12/2019;2019;INDL;C;D;STD;USD;61627;825;5087;6491;19178;5386;22449;A
ROPER TECHNOLOGIES INC;24925;ROP;31/12/2019;2019;INDL;C;D;STD;USD;18108,9;52,7;1504,4;1918,3;3841;1767,9;5366,8;A
BOSTON SCIENTIFIC CORP;25279;BSX;31/12/2019;2019;INDL;C;D;STD;USD;30565;461;2070;3080;8016;4700;10735;A
KOHL'S CORP;25283;KSS;31/01/2019;2018;INDL;C;D;STD;USD;12469;578;1361;2325;8030;801;20229;A
D R HORTON INC;25340;DHI;30/09/2019;2019;INDL;C;D;STD;USD;15606,6;224,1;2057,1;2123,2;3955,7;1618,5;17610,5;A
STARBUCKS CORP;25434;SBUX;30/09/2019;2019;INDL;C;D;STD;USD;19219,6;1806,6;3928,3;5305,6;7127,9;3599,2;26508,6;A
PATTERSON COS INC;25880;PDCO;30/04/2019;2018;INDL;C;D;STD;USD;3269,27;60,73;165,98;248,75;1273,55;83,63;5574,52;A
ALCOA CORP;27638;AA;31/12/2019;2019;INDL;C;D;STD;USD;14631;379;894;1607;1912;-1125;10433;A
CHESAPEAKE ENERGY CORP;27786;CHK;31/12/2019;2019;INDL;C;D;STD;USD;16193;2263;-31;2265;2649;-308;8489;A
ALLERGAN PLC;27845;AGN;31/12/2019;2019;INDL;C;D;STD;USD;94699,1;375,2;1516,1;7577,2;13964;-5271;16126,8;I
HUMANA INC;27914;HUM;31/12/2019;2019;INDL;C;D;STD;USD;29074;736;3239;3814;11148;2707;64888;A
INTUIT INC;27928;INTU;31/07/2019;2019;INDL;C;D;STD;USD;6283;155;1855;2080;5836;1557;6784;A
MICROCHIP TECHNOLOGY INC;27965;MCHP;31/03/2019;2018;INDL;C;D;STD;USD;18350;228,9;1160,1;2036,5;3490,4;355,9;5349,5;A
CHUBB LTD;28034;CB;31/12/2019;2019;INDL;C;D;STD;USD;176943;0;5662;;5662;4454;34643;A
FOSSIL GROUP INC;28118;FOSL;31/12/2019;2019;INDL;C;D;STD;USD;1604,73;20,89;17,87;72,66;1154,23;-52,37;2217,71;A
O'REILLY AUTOMOTIVE INC;28180;ORLY;31/12/2019;2019;INDL;C;D;STD;USD;10717,16;628,06;1920,73;2191,6;5665,57;1391,04;10149,99;A
JABIL INC;28195;JBL;31/08/2019;2019;INDL;C;D;STD;USD;12970,48;1005,48;779,97;1551,8;2653,31;287,11;25282,32;A
ALLSTATE CORP;28349;ALL;31/12/2019;2019;INDL;C;D;STD;USD;119950;433;6671;7129;7129;4847;44675;A
FLIR SYSTEMS INC;28477;FLIR;31/12/2019;2019;INDL;C;D;STD;USD;3137,54;44,79;340,94;442,64;1039,06;171,6;1887,03;I
EQUITY RESIDENTIAL;28733;EQR;31/12/2019;2019;INDL;C;D;STD;USD;21172,77;4,96;977,29;;1030,04;970,38;2769,45;A
BORGWARNER INC;28742;BWA;31/12/2019;2019;INDL;C;D;STD;USD;9702;481;1228;1667;2540;746;10168;A
MARRIOTT INTL INC;28930;MAR;31/12/2019;2019;INDL;C;D;STD;USD;25051;653;2052;2400;2400;1273;20972;A
COSTCO WHOLESALE CORP;29028;COST;31/08/2019;2019;INDL;C;D;STD;USD;45400;2998;4860;6352;21309;3659;152703;A
URBAN OUTFITTERS INC;29150;URBN;31/01/2019;2018;INDL;C;D;STD;USD;2160,52;114,92;381,31;497,6;1463;298;3950,62;A
SIMON PROPERTY GROUP INC;29389;SPG;31/12/2019;2019;INDL;C;D;STD;USD;31231,63;0;3273,68;;3648,99;2101,58;6121,04;A
EASTMAN CHEMICAL CO;29392;EMN;31/12/2019;2019;INDL;C;D;STD;USD;16008;425;1309;1919;2844;759;9273;A
INVESCO LTD;29804;IVZ;31/12/2019;2019;INDL;C;D;STD;USD;39420,3;124,3;1433,6;1611,2;1611,2;688,3;6117,4;A
AVALONBAY COMMUNITIES INC;29875;AVB;31/12/2019;2019;INDL;C;D;STD;USD;19121,05;5,27;835,31;;902,15;785,97;2331,84;A
PROLOGIS INC;29984;PLD;31/12/2019;2019;INDL;C;D;STD;USD;40031,85;0;1216,34;;1483,06;1572,96;3555,01;A
INGERSOLL RAND INC;30098;IR;31/12/2019;2019;INDL;C;D;STD;USD;4628,4;43,2;351;529,1;956;159,1;2451,9;A
APARTMENT INVST & MGMT CO;30490;AIV;31/12/2019;2019;INDL;C;D;STD;USD;6828,74;0;170,53;;236,66;474,08;928,05;A
TECHNIPFMC PLC;30923;FTI;31/12/2019;2019;INDL;C;D;STD;USD;23518,8;454,4;1067,4;1577;2968;-2415,2;13409,1;A
CAPITAL ONE FINANCIAL CORP;30990;COF;31/12/2019;2019;INDL;C;D;STD;USD;390365;887;9116;9969;9969;5546;33907;A
DOLLAR TREE INC;31587;DLTR;31/01/2019;2018;INDL;C;D;STD;USD;13501,2;817,1;1787,5;2408,6;7503,2;-1590,8;22823,3;A
DARDEN RESTAURANTS INC;31846;DRI;31/05/2019;2018;INDL;C;D;STD;USD;5892,8;452;832;1171,7;1852;713,4;8510,4;A
ALTAIR ENGINEERING INC;32530;ALTR;31/12/2019;2019;INDL;C;D;STD;USD;743,15;9,66;10,25;31,77;337,51;-7,54;463,03;A
SEA LIMITED;32546;SE;31/12/2019;2019;INDL;C;D;STD;USD;5224,17;239,84;-891,23;-769,6;705,9;-1462,8;2191,27;A
DOW INC;34443;DOW;31/12/2019;2019;INDL;C;D;STD;USD;60524;1970;3556;6229;8584;-1359;42951;A
BEAM THERAPEUTICS INC;35714;BEAM;31/12/2019;2019;INDL;C;D;STD;USD;156,1;12,52;-75,15;-71,65;0,02;-78,33;0,02;A
DOUBLEVERIFY HOLD INC;38412;DV;31/12/2019;2019;INDL;C;D;STD;USD;466,27;5,94;45,49;67,31;157,82;23,31;182,66;A
HASHICORP INC;39391;HCP;31/01/2019;2018;INDL;C;D;STD;USD;;;;;;;;A
P10 INC;39750;PX;31/12/2019;2019;INDL;C;D;STD;USD;202,8;0,03;16,31;26,89;26,89;11,94;44,9;A
NU HOLDINGS LTD;39997;NU;31/12/2019;2019;INDL;C;D;STD;USD;6760,03;2,38;249,94;255,01;327,23;-92,53;612,11;A
LIFE STORAGE INC;60914;LSI;31/12/2019;2019;INDL;C;D;STD;USD;4232,96;0;234,72;;277;258,7;579,65;I
DIAMOND OFFSHRE DRILLING INC;61409;DO;31/12/2019;2019;INDL;C;D;STD;USD;5834,04;326,09;-281,26;74,34;142,22;-357,21;980,64;A
DAVITA INC;61483;DVA;31/12/2019;2019;INDL;C;D;STD;USD;17311,39;766,55;1755,53;2370,68;3473,99;810,98;11388,48;A
ESTEE LAUDER COMPANIES INC;61567;EL;30/06/2019;2019;INDL;C;D;STD;USD;13156;744;2607;3153;12047;1785;14866;A
WATERS CORP;61574;WAT;31/12/2019;2019;INDL;C;D;STD;USD;2557,06;163,82;724,65;829,95;1491,5;592,2;2406,6;A
NETAPP INC;61591;NTAP;30/04/2019;2018;INDL;C;D;STD;USD;8741;173;1183;1379;4131;1169;6146;A
CITRIX SYSTEMS INC;61676;CTXS;31/12/2019;2019;INDL;C;D;STD;USD;4388,93;63,45;571,57;704,58;2676,84;681,81;3010,56;I
HARTFORD FINANCIAL SERVICES;61739;HIG;31/12/2019;2019;INDL;C;D;STD;USD;70817;105;2740;3191;3191;2085;20480;A
ALEXION PHARMACEUTICALS INC;62263;ALXN;31/12/2019;2019;INDL;C;D;STD;USD;17544,6;154,7;2140;2511,8;4658,8;2404,3;4991,1;I
IRON MOUNTAIN INC;62374;IRM;31/12/2019;2019;INDL;C;D;STD;USD;13816,82;692,98;779,4;1437,61;2429,27;267,38;4262,58;A
TRAVELERS COS INC;62689;TRV;31/12/2019;2019;INDL;C;D;STD;USD;110122;0;3231;3994;7596;2622;31330;A
E TRADE FINANCIAL CORP;63501;ETFC;31/12/2019;2019;INDL;C;D;STD;USD;61416;149;1453;1602;1602;955;3139;I
STERICYCLE INC;63527;SRCL;31/12/2019;2019;INDL;C;D;STD;USD;6437;194,2;199,4;472,2;1277,3;-346,8;3308,9;A
ABERCROMBIE & FITCH  -CL A;63643;ANF;31/01/2019;2018;INDL;C;D;STD;USD;2385,59;152,39;124,05;302,08;2337,95;74,54;3590,11;A
NOV INC;63892;NOV;31/12/2019;2019;INDL;C;D;STD;USD;13149;233;-458;75;1378;-6095;8479;A
QUEST DIAGNOSTICS INC;64166;DGX;31/12/2019;2019;INDL;C;D;STD;USD;12843;400;1220;1549;2957;858;7726;A
CARMAX INC;64410;KMX;28/02/2019;2018;INDL;C;D;STD;USD;18717,87;304,64;1189,01;1358,81;3089,08;842,41;19145,59;A
AMAZON.COM INC;64768;AMZN;31/12/2019;2019;INDL;C;D;STD;USD;225248;16861;14177;29892;130136;11588;280522;A
RALPH LAUREN CORP;64891;RL;31/03/2019;2018;INDL;C;D;STD;USD;5942,8;197,7;724,9;992,1;3893,2;430,9;6313;A
BOSTON PROPERTIES INC;64925;BXP;31/12/2019;2019;INDL;C;D;STD;USD;21284,91;0;1093,55;;1236,31;521,53;3032,51;A
YUM BRANDS INC;65417;YUM;31/12/2019;2019;INDL;C;D;STD;USD;5231;196;1947;2113;2993;1294;5597;A
C H ROBINSON WORLDWIDE INC;65609;CHRW;31/12/2019;2019;INDL;C;D;STD;USD;4641,06;36,29;784,18;884,63;2686,76;576,97;15309,51;A
VERISIGN INC;66368;VRSN;31/12/2019;2019;INDL;C;D;STD;USD;1854,01;40,32;806,13;852,46;1097,52;612,3;1231,66;A
QUANTA SERVICES INC;66446;PWR;31/12/2019;2019;INDL;C;D;STD;USD;8331,68;261,76;686,14;966,34;1897,56;402,04;12160,95;A
AMERICAN TOWER CORP;105365;AMT;31/12/2019;2019;INDL;C;D;STD;USD;42801,6;991,3;2725,1;4503,5;5233,9;1887,8;7580,3;A
VENTAS INC;110179;VTR;31/12/2019;2019;INDL;C;D;STD;USD;24692,21;0;848,15;;1014,15;433,02;3870,3;A
COGNIZANT TECH SOLUTIONS;111864;CTSH;31/12/2019;2019;INDL;C;D;STD;USD;16204;392;2812;3319;6174;1842;16783;A
REPUBLIC SERVICES INC;112168;RSG;31/12/2019;2019;INDL;C;D;STD;USD;22683,8;1207,1;1767,6;2874,9;3950,8;1073,3;10299,4;A
CROWN CASTLE INC;113490;CCI;31/12/2019;2019;INDL;C;D;STD;USD;38457;2057;1591;3163;3777;860;5763;A
EBAY INC;114524;EBAY;31/12/2019;2019;INDL;C;D;STD;USD;18174;554;2398;3081;8927;1786;10800;A
GOLDMAN SACHS GROUP INC;114628;GS;31/12/2019;2019;INDL;C;D;STD;USD;992968;8443;24391;26095;26095;8466;53922;A
NVIDIA CORP;117768;NVDA;31/01/2019;2018;INDL;C;D;STD;USD;13292;600;3848;4110;7468;4141;11716;A
CNX RESOURCES CORPORATION;120093;CNX;31/12/2019;2019;INDL;C;D;STD;USD;9060,81;1192,6;184,87;812,77;812,77;-80,73;1924,35;A
F5 INC;121077;FFIV;30/09/2019;2019;INDL;C;D;STD;USD;3390,28;103,54;595,28;655,12;1945,04;427,73;2242,45;A
JUNIPER NETWORKS INC;121718;JNPR;31/12/2019;2019;INDL;C;D;STD;USD;8837,7;109,6;496;714,7;2831,6;345;4445,4;A
RED HAT INC;122841;RHT;28/02/2019;2018;INDL;C;D;STD;USD;5588,29;61,27;546,28;655,33;2957,59;433,99;3362,07;I
BLACKROCK INC;124434;BLK;31/12/2019;2019;INDL;C;D;STD;USD;168622;254;5604;5883;5883;4476;14539;A
AKAMAI TECHNOLOGIES INC;125595;AKAM;31/12/2019;2019;INDL;C;D;STD;USD;7006,89;562,08;583,52;989,75;2195,06;478,04;2893,62;A
EXPEDIA GROUP INC;126296;EXPE;31/12/2019;2019;INDL;C;D;STD;USD;21416;1160;961;1871;9990;565;12067;A
AGILENT TECHNOLOGIES INC;126554;A;31/10/2019;2019;INDL;C;D;STD;USD;9452;155;1035;1274;3023;1071;5163;A
EDWARDS LIFESCIENCES CORP;133366;EW;31/12/2019;2019;INDL;C;D;STD;USD;6488,1;254,4;1280,4;1369,7;3396;1046,9;4348;A
METLIFE INC;133768;MET;31/12/2019;2019;INDL;C;D;STD;USD;740463;0;8144;8900;13891;5899;69744;A
NRG ENERGY INC;135990;NRG;31/12/2019;2019;INDL;C;D;STD;USD;12531;228;1326;1699;1699;4438;9821;A
INTUITIVE SURGICAL INC;136725;ISRG;31/12/2019;2019;INDL;C;D;STD;USD;9733,2;425,6;1382,2;1581,9;3309,9;1379,3;4478,5;A
MOODY'S CORP;139665;MCO;31/12/2019;2019;INDL;C;D;STD;USD;10265;69;2091;2291;3442;1422;4829;A
PEABODY ENERGY CORP;142460;BTU;31/12/2019;2019;INDL;C;D;STD;USD;6542,8;287,8;21,2;680,6;825,6;-211,3;4623,4;A
PRUDENTIAL FINANCIAL INC;143356;PRU;31/12/2019;2019;INDL;C;D;STD;USD;896552;0;6709;7169;18539;4186;64845;A
ACCENTURE PLC;143357;ACN;31/08/2019;2019;INDL;C;D;STD;USD;29789,88;599,01;6305,07;6923,02;13932,63;4779,11;43215,01;A
GAMESTOP CORP;145049;GME;31/01/2019;2018;INDL;C;D;STD;USD;4044,3;93,7;313,9;420,7;2309,3;-673;8285,3;A
PRINCIPAL FINANCIAL GRP INC;145701;PFG;31/12/2019;2019;INDL;C;D;STD;USD;276087,8;132,4;1646,8;1873,6;1873,6;1394,2;15999,6;A
NETFLIX INC;147579;NFLX;31/12/2019;2019;INDL;C;D;STD;USD;33975,71;253,04;2604,25;2707,83;7819,81;1866,92;20156,45;A
CME GROUP INC;149070;CME;31/12/2019;2019;INDL;C;D;STD;USD;75215,3;245,6;2587,8;3061,1;3061,1;2116,5;4868;A
WYNN RESORTS LTD;149318;WYNN;31/12/2019;2019;INDL;C;D;STD;USD;13871,28;1063,29;913,31;1538,18;2544,05;122,99;6611,1;A
NASDAQ INC;149337;NDAQ;31/12/2019;2019;INDL;C;D;STD;USD;13924;127;1117;1307;1307;774;4262;A
SEAGATE TECHNOLOGY HOLDINGS;150937;STX;30/06/2019;2019;INDL;C;D;STD;USD;8885;602;1465;2006;3450;2012;10390;A
QEP RESOURCES INC;154357;QEP;31/12/2019;2019;INDL;C;D;STD;USD;5477,8;566,2;202;742;854,5;-97,3;1206,2;I
ASSURANT INC;157057;AIZ;31/12/2019;2019;INDL;C;D;STD;USD;44291,2;110,3;906,3;2151,2;2151,2;382,6;10086,8;A
SALESFORCE INC;157855;CRM;31/01/2019;2018;INDL;C;D;STD;USD;30737;595;562;1420;10457;1110;13282;A
GENWORTH FINANCIAL INC;158354;GNW;31/12/2019;2019;INDL;C;D;STD;USD;101342;0;881;945;945;343;8020;A
MASTERCARD INC;160225;MA;31/12/2019;2019;INDL;C;D;STD;USD;29236;422;9664;10186;10186;8118;16883;A
MOSAIC CO;162129;MOS;31/12/2019;2019;INDL;C;D;STD;USD;19298,5;1272,2;452,2;1358,2;1860,3;-1067,4;8906,3;A
INTERCONTINENTAL EXCHANGE;163610;ICE;31/12/2019;2019;INDL;C;D;STD;USD;94493;305;2727;3358;4092;1933;6547;A
CF INDUSTRIES HOLDINGS INC;163946;CF;31/12/2019;2019;INDL;C;D;STD;USD;12172;404;926;1789;2037;493;4590;A
AMERIPRISE FINANCIAL INC;164708;AMP;31/12/2019;2019;INDL;C;D;STD;USD;151828;143;2243;2427;5700;1893;12886;A
VIACOM INC;165675;VIAB;30/09/2019;2019;INDL;C;D;STD;USD;23671;194;2716;2931;6077;1548;12838;I
CHIPOTLE MEXICAN GRILL INC;165914;CMG;31/12/2019;2019;INDL;C;D;STD;USD;5104,6;333,91;510,38;723,07;1142,49;350,16;5586,37;A
FIDELITY NATIONAL INFO SVCS;165993;FIS;31/12/2019;2019;INDL;C;D;STD;USD;83806;200;1760;4021;5984;298;10333;A
PHILLIPS 66;170841;PSX;31/12/2019;2019;INDL;C;D;STD;USD;58720;3873;3236;4600;6281;3076;107293;A
WESTERN UNION CO;175263;WU;31/12/2019;2019;INDL;C;D;STD;USD;8758,5;48,1;1065,5;1323,2;2503,1;1058,3;5292,1;A
FIRST SOLAR INC;175404;FSLR;31/12/2019;2019;INDL;C;D;STD;USD;7515,69;668,72;201,22;406,52;754,51;-114,93;3063,12;A
TE CONNECTIVITY LTD;177267;TEL;30/09/2019;2019;INDL;C;D;STD;USD;19694;749;2260;2950;5084;1844;13448;A
DISCOVER FINANCIAL SVCS;177376;DFS;31/12/2019;2019;INDL;C;D;STD;USD;113996;284;4778;4942;4942;2957;13989;A
TERADATA CORP;178310;TDC;31/12/2019;2019;INDL;C;D;STD;USD;2057;54;61;211;1096;-20;1899;A
VISA INC;179534;V;30/09/2019;2019;INDL;C;D;STD;USD;72574;756;15401;16057;16057;12080;22977;A
PHILIP MORRIS INTERNATIONAL;179621;PM;31/12/2019;2019;INDL;C;D;STD;USD;42875;852;11566;12530;20190;7185;29805;A
MARATHON PETROLEUM CORP;186989;MPC;31/12/2019;2019;INDL;C;D;STD;USD;98556;5374;6091;9729;12955;2637;123949;A
WPX ENERGY INC;187128;WPX;31/12/2019;2019;INDL;C;D;STD;USD;8413;1362;173;1194;1398;256;2292;I
XYLEM INC;189491;XYL;31/12/2019;2019;INDL;C;D;STD;USD;7710;226;727;984;2308;401;5249;A
TRIPADVISOR INC;199356;TRIP;31/12/2019;2019;INDL;C;D;STD;USD;1984;83;189;315;1466;126;1560;A
INTL GAME TECHNOLOGY PLC;245918;IGT;31/12/2019;2019;INDL;C;D;STD;USD;13644,59;442,08;735,27;1441,03;2553,32;-19,03;4785,81;A
PIEDMONT LITHIUM INC;253501;PLL;30/06/2019;2019;INDL;C;D;STD;USD;6,78;1,54;-10,19;-10,18;0;-9,82;0;A
